chain,track,source,model,seed,reporting_budget,model_value_capture,oracle_value_capture,oracle_gap_value_capture,headroom_kusd,total_observed_late_value_kusd,group_model_macro_value_capture,group_oracle_macro_value_capture,group_oracle_gap_macro_value_capture,group_model_pooled_value_capture,group_oracle_pooled_value_capture
cotton,b1,nbfnet,NBFNet,3,50,0.06735540188745308,1.0,0.932644598112547,44154.58379999998,47343.41879999998,0.6549985289048136,0.9696108610381701,0.3146123321333565,0.11764430920227507,0.9717396623667576
cotton,b1,nbfnet,NBFNet,4,50,0.07417012731661876,1.0,0.9258298726833812,43831.951399999976,47343.41879999998,0.6709599911542231,0.9696108610381701,0.29865086988394696,0.11685243567581145,0.9717396623667576
cotton,b2,cpu,gravity,,3,0.2634687812167533,1.0,0.7365312187832467,44539.71559999998,47343.418799999985,0.2634687812167533,1.0,0.7365312187832467,0.05922054788320443,1.0
cotton,b2,cpu,historical_logistic_demand_gravity,,3,0.18013544788341995,1.0,0.81986455211658,45655.38059999998,47343.418799999985,0.18013544788341995,1.0,0.81986455211658,0.03565518170817018,1.0
cotton,b2,cpu,processed_importer_demand,,3,0.1533513444868573,1.0,0.8466486555131427,45007.626999999986,47343.418799999985,0.1533513444868573,1.0,0.8466486555131427,0.04933720164712736,1.0
cotton,b2,kge,RotatE,0,3,0.4136199912883143,1.0,0.5863800087116857,43270.55899999999,47343.418799999985,0.4136199912883143,1.0,0.5863800087116857,0.08602800353742093,1.0
cotton,b2,kge,RotatE,1,3,0.2747311023994254,1.0,0.7252688976005746,44844.725799999986,47343.418799999985,0.2747311023994254,1.0,0.7252688976005746,0.05277804314377062,1.0
cotton,b2,kge,RotatE,2,3,0.33220609154982317,1.0,0.6677939084501768,44082.82479999999,47343.418799999985,0.33220609154982317,1.0,0.6677939084501768,0.06887111414100076,1.0
cotton,b2,kge,RotatE,3,3,0.3309698185332319,1.0,0.6690301814667681,44943.49319999998,47343.418799999985,0.3309698185332319,1.0,0.6690301814667681,0.05069185244391351,1.0
cotton,b2,kge,RotatE,4,3,0.4566769526446064,1.0,0.5433230473553936,42961.95239999999,47343.418799999985,0.4566769526446064,1.0,0.5433230473553936,0.09254647237262895,1.0
cotton,b2,nbfnet,NBFNet,0,3,0.6410289462657452,1.0,0.35897105373425475,5059.098999999987,47343.418799999985,0.6410289462657452,1.0,0.35897105373425475,0.8931403956826204,1.0
cotton,b2,nbfnet,NBFNet,1,3,0.5999358463081581,1.0,0.4000641536918419,4163.761599999991,47343.418799999985,0.5999358463081581,1.0,0.4000641536918419,0.9120519450107817,1.0
